country,sex,climber_count,avg_age,avg_grade_numeric,median_height,max_grade_numeric,max_grade_label,max_grade_climber_count
ESP,M,1145,34.6,53.85,176,77,9b,4
USA,M,1073,31.2,54.18,178,77,9b,4
other,M,849,32.8,55.59,178,77,9b,1
POL,M,738,32.5,53.83,179,77,9b,2
ITA,M,715,33.8,55.05,177,77,9b,1
SWE,M,563,37.5,49.27,180,75,9a+,1
FRA,M,538,33.0,57.46,177,77,9b,1
DEU,M,453,33.2,55.61,180,75,9a+,2
BRA,M,360,33.3,53.11,176,75,9a+,1
NOR,M,331,35.4,53.05,180,77,9b,1
AUT,M,308,31.7,55.38,178,75,9a+,3
ZAF,M,284,32.4,48.39,179,70,8c/+,1
CAN,M,248,34.8,54.53,178,72,8c+/9a,3
RUS,M,213,30.8,55.32,178,75,9a+,2
AUS,M,202,34.1,55.66,179,75,9a+,1
GBR,M,202,32.2,56.2,177,75,9a+,1
NLD,M,196,34.5,55.77,182,72,8c+/9a,1
CHE,M,196,35.1,55.41,178,75,9a+,1
USA,F,175,31.6,52.63,164,70,8c/+,3
PRT,M,168,33.7,48.48,175,71,8c+,1
ESP,F,161,34.7,48.57,164,72,8c+/9a,1
BEL,M,155,33.6,55.6,179,75,9a+,3
other,F,135,31.3,51.66,164,70,8c/+,3
HRV,M,134,33.0,50.75,180,70,8c/+,2
MEX,M,131,32.1,57.79,174,75,9a+,2
SVN,M,130,30.8,58.75,178,77,9b,1
DNK,M,108,37.7,52.23,180,70,8c/+,1
POL,F,92,29.1,50.3,167,72,8c+/9a,1
ITA,F,83,32.6,50.88,163,72,8c+/9a,1
SWE,F,69,36.7,46.72,167,70,8c/+,1
FRA,F,69,30.4,53.35,164,72,8c+/9a,1
BRA,F,67,32.2,48.45,163,64,8a+/8b,1
CZE,M,65,32.3,58.08,180,77,9b,1
CAN,F,58,33.4,50.38,164,70,8c/+,1
FIN,M,55,36.9,51.0,179,72,8c+/9a,1
RUS,F,53,30.7,52.3,166,70,8c/+,1
DEU,F,52,35.8,52.77,166,68,8b+/8c,1
AUS,F,42,32.6,52.76,163,72,8c+/9a,2
ZAF,F,39,33.7,47.03,163,62,8a/+,4
NLD,F,37,34.6,53.24,167,62,8a/+,6
AUT,F,29,31.0,54.97,164,70,8c/+,4
HRV,F,29,32.7,44.97,166,66,8b/+,1
CHE,F,29,35.2,52.21,166,68,8b+/8c,2
GBR,F,26,33.1,51.73,161,64,8a+/8b,2
NOR,F,24,35.8,46.92,168,57,7c,3
BEL,F,21,32.8,47.67,168,75,9a+,1
SVN,F,18,30.9,57.56,165,72,8c+/9a,1
PRT,F,17,29.9,47.82,166,66,8b/+,1
MEX,F,15,32.8,49.53,161,66,8b/+,1
CZE,F,13,27.4,62.54,158,68,8b+/8c,2
DNK,F,11,37.5,47.27,167,64,8a+/8b,1
FIN,F,3,38.7,45.33,168,56,7b+/7c,1
